,State,SAT_2017_Participation,SAT_2017_Score,SAT_2018_Participation,SAT_2018_Score,SAT_2019_Participation,SAT_2019_Score,ACT_2017_Participation,ACT_2017_Score,ACT_2018_Participation,ACT_2018_Score,ACT_2019_Participation,ACT_2019_Score
0,Alabama,5.0,1165,6.0,1166,7.0,1143,100.0,19.2,100.0,19.1,100.0,18.9
1,Alaska,38.0,1080,43.0,1106,41.0,1097,65.0,19.8,33.0,20.8,38.0,20.1
2,Arizona,30.0,1116,29.0,1149,31.0,1134,62.0,19.7,66.0,19.2,73.0,19.0
3,Arkansas,3.0,1208,5.0,1169,6.0,1141,100.0,19.4,100.0,19.4,100.0,19.3
4,California,53.0,1055,60.0,1076,63.0,1065,31.0,22.8,27.0,22.7,23.0,22.6
5,Colorado,11.0,1201,100.0,1025,100.0,1024,100.0,20.8,30.0,23.9,27.0,23.8
6,Connecticut,100.0,1041,100.0,1053,100.0,1046,31.0,25.2,26.0,25.6,22.0,25.5
7,Delaware,100.0,996,100.0,998,100.0,985,18.0,24.1,17.0,23.8,13.0,24.1
8,Florida,83.0,1017,56.0,1099,100.0,999,73.0,19.8,66.0,19.9,54.0,20.1
9,Georgia,61.0,1050,70.0,1064,71.0,1058,55.0,21.4,53.0,21.4,49.0,21.4
10,Hawaii,55.0,1085,56.0,1010,54.0,1100,90.0,19.0,89.0,18.9,80.0,19.0
11,Idaho,93.0,1005,100.0,1001,100.0,993,38.0,22.3,36.0,22.3,31.0,22.5
12,Illinois,9.0,1115,99.0,1019,100.0,1013,93.0,21.4,43.0,23.9,35.0,24.3
13,Indiana,63.0,1074,63.0,1074,66.0,1080,35.0,22.6,32.0,22.5,29.0,22.5
14,Iowa,2.0,1275,3.0,1265,3.0,1244,67.0,21.9,68.0,21.8,66.0,21.6
15,Kansas,4.0,1260,4.0,1265,4.0,1241,73.0,21.7,71.0,21.6,72.0,21.2
16,Kentucky,4.0,1247,4.0,1248,4.0,1232,100.0,20.0,100.0,20.2,100.0,19.8
17,Louisiana,4.0,1198,4.0,1210,5.0,1200,100.0,19.5,100.0,19.2,100.0,18.8
18,Maine,95.0,1012,99.0,1013,99.0,1013,8.0,24.3,7.0,24.0,6.0,24.3
19,Maryland,69.0,1060,76.0,1080,82.0,1058,28.0,23.6,31.0,22.5,28.0,22.3
20,Massachusetts,76.0,1107,80.0,1125,81.0,1120,29.0,25.4,25.0,25.5,21.0,25.5
21,Michigan,100.0,1005,100.0,1011,100.0,1003,29.0,24.1,22.0,24.2,19.0,24.4
22,Minnesota,3.0,1295,4.0,1298,4.0,1284,100.0,21.5,99.0,21.3,95.0,21.4
23,Mississippi,2.0,1242,3.0,1236,3.0,1237,100.0,18.6,100.0,18.6,100.0,18.4
24,Missouri,3.0,1271,4.0,1262,4.0,1236,100.0,20.4,100.0,20.0,82.0,20.8
25,Montana,10.0,1196,10.0,1198,9.0,1199,100.0,20.3,100.0,20.0,100.0,19.8
26,Nebraska,3.0,1253,3.0,1252,3.0,1260,84.0,21.4,100.0,20.1,100.0,20.0
27,Nevada,26.0,1116,23.0,1140,20.0,1156,100.0,17.8,100.0,17.7,100.0,17.9
28,New Hampshire,96.0,1052,96.0,1063,95.0,1059,18.0,25.5,16.0,25.1,14.0,25.0
29,New Jersey,70.0,1056,82.0,1094,82.0,1090,34.0,23.9,31.0,23.7,25.0,24.2
30,New Mexico,11.0,1138,16.0,1093,18.0,1073,66.0,19.7,67.0,19.4,63.0,19.3
31,New York,67.0,1052,79.0,1068,79.0,1064,31.0,24.2,27.0,24.5,22.0,24.5
32,North Carolina,49.0,1081,52.0,1098,51.0,1100,100.0,19.1,100.0,19.1,100.0,19.0
33,North Dakota,2.0,1256,2.0,1283,2.0,1263,98.0,20.3,98.0,20.3,96.0,19.9
34,Ohio,12.0,1149,18.0,1099,19.0,1097,75.0,22.0,100.0,20.3,100.0,20.0
35,Oklahoma,7.0,1047,8.0,1062,22.0,963,100.0,19.4,100.0,19.3,100.0,18.9
36,Oregon,43.0,1108,48.0,1117,51.0,1112,40.0,21.8,42.0,21.3,42.0,21.1
37,Pennsylvania,65.0,1071,70.0,1086,70.0,1082,23.0,23.7,20.0,23.5,17.0,23.6
38,Rhode Island,71.0,1062,97.0,1018,100.0,995,21.0,24.0,15.0,24.2,12.0,24.7
39,South Carolina,50.0,1064,55.0,1070,68.0,1030,100.0,18.7,100.0,18.3,78.0,18.8
40,South Dakota,3.0,1216,3.0,1240,3.0,1268,80.0,21.8,77.0,21.9,75.0,21.6
41,Tennessee,5.0,1228,6.0,1231,7.0,1220,100.0,19.8,100.0,19.6,100.0,19.4
42,Texas,62.0,1020,66.0,1032,68.0,1022,45.0,20.7,45.0,20.7,39.0,20.5
43,Utah,3.0,1238,4.0,1010,4.0,1230,100.0,20.3,100.0,20.4,100.0,20.3
44,Vermont,60.0,1114,64.0,1120,66.0,1106,29.0,23.6,24.0,24.1,20.0,24.1
45,Virginia,65.0,1102,68.0,1117,68.0,1119,29.0,23.8,24.0,23.9,21.0,24.0
46,Washington,64.0,1075,69.0,1081,70.0,1074,29.0,21.9,24.0,22.2,24.0,22.1
47,West Virginia,14.0,1086,28.0,999,99.0,943,69.0,20.4,65.0,20.3,49.0,20.8
48,Wisconsin,3.0,1291,3.0,1294,3.0,1283,100.0,20.5,100.0,20.5,100.0,20.3
49,Wyoming,3.0,1230,3.0,1257,3.0,1238,100.0,20.2,100.0,20.0,100.0,19.8
